Id,Designator,Manufacturer,Quantity,*Mfg Part #,Value,Package,Description / Value,Type,Notes,
1,U4,ON Semiconductor,1,ESD7002WTT1G,,SOT-323_SC-70,TVS DIODE 5V SC70-3,SMD,,
2,D9,SparkFun Electronics,1,APA102-2020,,LED-APA102-2020,ADDRESS LED STRIP SER RGB 10PK,SMD,,
3,J2,TE Connectivity,1,440055-2,,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,"Connector Header Through Hole, Right Angle 2 position 0.079"" (2.00mm)",thru-hole,,
4,"R12,R10,R8,R7,R3,R11,R1",,7,,330,0603,RES SMD 330 OHM 0.5% 1/5W 0603,SMD,,
5,D6,Würth Elektronik,1,150060SS75000,,0603,LED RED CLEAR 0603 SMD,SMD,,
6,"D8,D7,D5,D4",Würth Elektronik,4,150060VS75000,,0603,LED GREEN CLEAR 0603 SMD,SMD,,
7,"D1,D2",Micro Commercial Co,2,SMD22WS-TP,,SOD-323,"2A,20V,SCHOTTKY,SOD-323 PACKAGE",SMD,,
8,SW1,TE Connectivity,1,FSMSM,,,SWITCH TACTILE SPST-NO 0.05A 24V,SMD,,
9,U5,GigaDevice Semiconductor,1,GD25Q16CEIGR,,8-XFDFN,FLASH - NOR Memory IC 16Mb (2M x 8) SPI - Quad I/O 120MHz 8-USON (2x3),SMD,,
10,U1,STMicroelectronics,1,STM32F411CEU6,,48-UFQFN,IC MCU 32BIT 512KB FLSH 48UFQFPN,SMD,,
11,"Q2,Q4,Q3,Q1",Infineon Technologies,4,BSS816NWH6327XTSA1,,SOT-323,MOSFET N-CH 20V 1.4A SOT323-3,SMD,,
12,"R13,R9,R5,R4,R2",,5,,20k,0603,RES SMD 20K OHM 0.5% 1/10W 0603,SMD,,
13,"C1,C4,C16,C5,C3",,5,,100nF,0603,CAP CER 0.1UF 50V X7R 0603,SMD,,
14,U3,Microchip Technology,1,MCP73831T-2ACI/OT,,SOT-23-5,IC BATT CNTL LI-ION 1CEL SOT23-5,SMD,,
15,R6,,1,,2k,0603,RES 2K OHM 1% 1/10W 0603,SMD,,
16,"C11,C9,C14,C7",,4,,4.7uF,0603,CAP CER 4.7UF 16V X5R 0603,SMD,,
17,D3,Würth Elektronik,1,150060BS55040,,0603,LED BLUE DIFFUSED 0603 SMD,SMD,,
18,C12,,1,,2.2uF,0603,CAP CER 2.2UF 16V X5R 0603,SMD,,
19,Y1,XRCGB24M000F0L00R0,1,24Mhz,,4-SMD,CRYSTAL 24.0000MHZ 6PF SMD,SMD,,
20,U2,Diodes Incorporated,1,AP2210N-3.3TRG1,,SOT-23-3,IC REG LINEAR 3.3V 300MA SOT23-3,SMD,,
21,J4,Amphenol ICC (FCI),1,10103594-0001LF,,,CONN RCPT USB2.0 MICRO B SMD R/A,SMD,,
22,"C13,C6,C2",,3,,1uF,0603,CAP CER 1UF 25V X5R 0603,SMD,,
23,"C10,C8",,2,,6pF,0603,CAP CER 6PF 50V C0G/NP0 0603,SMD,,